"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"C1";"1nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C2";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C3";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C4";"1nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C5";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C6";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C7";"1nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C8";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C9";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"C10";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"16";"";"";"C";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";"";
"OUT";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";
"PWR";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"98";"";"";"";
"R1";"680K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R2";"680K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R3";"680K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R4";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R5";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R6";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R7";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R8";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R9";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R10";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R11";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"R12";"75";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"77";"";"";"R";
"U$1";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS D1 mini: Mini Wi-Fi Board based on ESP-8266 device";"";"";"";"";"";"";"";"";"";
"U1";"LM1881M/NOPB";"LM1881M/NOPB";"SOIC127P599X175-8N";"Check prices";"Warning";" Video Sync Separator 8-SOIC 0 to 70 ";"Texas Instruments";"LM1881M/NOPB";"SOIC-8 Texas Instruments";"";"None";"https://pricing.snapeda.com/search/part/LM1881M/NOPB/?ref=eda";"";
"U2";"LM1881M/NOPB";"LM1881M/NOPB";"SOIC127P599X175-8N";"Check prices";"Warning";" Video Sync Separator 8-SOIC 0 to 70 ";"Texas Instruments";"LM1881M/NOPB";"SOIC-8 Texas Instruments";"";"None";"https://pricing.snapeda.com/search/part/LM1881M/NOPB/?ref=eda";"";
"U3";"LM1881M/NOPB";"LM1881M/NOPB";"SOIC127P599X175-8N";"Check prices";"Warning";" Video Sync Separator 8-SOIC 0 to 70 ";"Texas Instruments";"LM1881M/NOPB";"SOIC-8 Texas Instruments";"";"None";"https://pricing.snapeda.com/search/part/LM1881M/NOPB/?ref=eda";"";
"U4";"MAX4545CAP+";"MAX4545CAP+";"SOP65P777X199-20N";"None Check prices";"Warning";" Video Switch IC 4 Channel 20-SSOP ";"Maxim Integrated";"MAX4545CAP+";"SSOP-20 Maxim";"";"None";"https://pricing.snapeda.com/search/part/MAX4545CAP+/?ref=eda";"";
